compound_name,formula,has_viscosity,viscosity_points,has_surface_tension,surface_tension_points,dataset_ids
"N-ethyl-2-(2-methoxyethoxy)-N,N-dimethylethanaminium bis(trifluoromethylsulfonyl)imide",C11H22F6N2O6S2,True,13,False,0,rzFZf
"N-ethyl-2-hydroxy-N,N-dimethylethanaminium 1-butanesulfonate",C10H25NO4S,True,1,False,0,sGZOs
"N-ethyl-2-methoxy-N,N-dimethylethan-1-aminium tetrafluoroborate",C7H18BF4NO,True,1,False,0,EVSuu
"N-ethyl-2-methoxy-N,N-dimethylethan-1-aminium trifluoro(perfluorobutyl)borate",C11H18BF12NO,True,1,False,0,bnnjw
"N-ethyl-2-methoxy-N,N-dimethylethan-1-aminium trifluoro(perfluoroethyl)borate",C9H18BF8NO,True,1,False,0,nzuxP
"N-ethyl-2-methoxy-N,N-dimethylethan-1-aminium trifluoro(perfluoropropyl)borate",C10H18BF10NO,True,1,False,0,oVEtr
"N-ethyl-N,N,N-tris(2-hydroxyethyl)ammonium bis(trifluoromethanesulfonyl)amide",C10H20F6N2O7S2,True,16,False,0,AlWqc
"N-ethyl-N,N-dimethyl-1-propanaminium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",C9H18F6N2O4S2,True,13,True,7,yZGkc;eQlSi;cUQTs;NDvKM
"N-ethyl-N,N-dimethyl-2-methoxyethylammonium bis(trifluoromethylsulfonyl)imide",C9H18F6N2O5S2,True,24,True,7,UUszf;AWgZI;yKalG;oaibI
"N-ethyl-N,N-dimethyl-N-butylammonium ethyl sulfate",C10H25NO4S,True,1,False,0,ogOwS
"N-ethyl-N,N-dimethylheptanaminium bis((trifluoromethyl)sulfonyl)amide",C13H26F6N2O4S2,True,13,False,0,briYN
"N-ethyl-N,N-dimethylprop-2-en-1-aminium bis((trifluoromethyl)sulfonyl)amide",C9H16F6N2O4S2,True,12,False,0,RJvYf
"N-ethyl-N,N-dimethylprop-2-en-1-aminium dicyanamide",C9H16N4,True,12,False,0,QwWYf
"N-ethyl-N,N-dimethylprop-2-en-1-aminium trifluoroacetate",C9H16F3NO2,True,12,False,0,ISAFF
"N-ethyl-N,N-dimethylprop-2-en-1-aminium trifluoromethanesulfonate",C8H16F3NO3S,True,12,False,0,xnGYc
"N-ethyl-N-(2-hydroxyethyl)-N,N-dimethylammonium ethyl sulfate",C8H21NO5S,True,1,False,0,jdanh
"N-ethyl-N-methyl-N,N-bis(2- hydroxyethyl)ammonium bis(trifluoromethanesulfonyl)amide",C9H18F6N2O6S2,True,15,False,0,dISqn
N-ethyl-N-methyl-N-propylpropan-1-aminium bis((trifluoromethyl)sulfonyl)imide,C11H22F6N2O4S2,True,1,False,0,KiXfl
N-ethyl-N-methylmorpholinium N-acetyl-L-alaninate,C12H24N2O4,True,5,False,0,ZQMrk
