name,CAS,Quantity,Value,Units,Method,Reference,Comment
2-Methylheptane,592-27-8,ΔfH°gas,-215.5 ± 1.3,kJ/mol,Ccb,"Prosen and Rossini, 1945",ALS
2-Methylheptane,592-27-8,Quantity,Value,Units,Method,Reference,Comment
2-Methylheptane,592-27-8,S°gas,459.49 ± 0.88,J/mol*K,N/A,"Messerly J.F., 1971",GT
2-Methylnonane,871-83-0,ΔfH°gas,-260.2,kJ/mol,N/A,"Moore, Renquist, et al., 1940","Value computed using ΔfHliquid° value of -309.8±2.4 kj/mol fromMoore, Renquist, et al., 1940and ΔvapH° value of 49.64 kj/mol frommissing citation."
2-Methyldecane,6975-98-0,S°gas,578.3 ± 2.0,J/mol*K,N/A,"Messerly J.F., 1971",
Cyclopentane,287-92-3,ΔfH°gas,-76.40 ± 0.79,kJ/mol,Ccb,"McCullough, Pennington, et al., 1959",ALS
Cyclopentane,287-92-3,ΔfH°gas,-76.9,kJ/mol,N/A,"Spitzer and Huffman, 1947","Value computed using ΔfHliquid° value of -105.6±1.8 kj/mol fromSpitzer and Huffman, 1947and ΔvapH° value of 28.7 kj/mol fromProsen, Johnson, et al., 1946.;DRB"
Cyclopentane,287-92-3,ΔfH°gas,-77.24 ± 0.75,kJ/mol,Ccb,"Prosen, Johnson, et al., 1946",ALS
Methylcyclopentane,96-37-7,ΔfH°gas,-106.0,kJ/mol,N/A,"Good and Smith, 1969","Value computed using ΔfHliquid° value of -137.7±0.7 kj/mol fromGood and Smith, 1969and ΔvapH° value of 31.7 kj/mol fromProsen, Johnson, et al., 1946.;DRB"
Methylcyclopentane,96-37-7,ΔfH°gas,-106.7 ± 0.84,kJ/mol,Ccb,"Prosen, Johnson, et al., 1946",ALS
Methylcyclopentane,96-37-7,ΔfH°gas,-108.1,kJ/mol,N/A,"Moore, Renquist, et al., 1940","Value computed using ΔfHliquid° value of -139.8±1.7 kj/mol fromMoore, Renquist, et al., 1940and ΔvapH° value of 31.7 kj/mol fromProsen, Johnson, et al., 1946.;DRB"
Cyclohexane,110-82-7,ΔfH°gas,-124.6,kJ/mol,N/A,"Spitzer and Huffman, 1947","Value computed using ΔfHliquid° value of -157.7±1.8 kj/mol fromSpitzer and Huffman, 1947and ΔvapH° value of 33.1 kj/mol fromProsen, Johnson, et al., 1946.;DRB"
Cyclohexane,110-82-7,ΔfH°gas,-123.1 ± 0.79,kJ/mol,Ccb,"Prosen, Johnson, et al., 1946",ALS
Cyclohexane,110-82-7,ΔfH°gas,-123.3,kJ/mol,N/A,"Moore, Renquist, et al., 1940","Value computed using ΔfHliquid° value of -156.4±1.3 kj/mol fromMoore, Renquist, et al., 1940and ΔvapH° value of 33.1 kj/mol fromProsen, Johnson, et al., 1946.;DRB"
Cyclohexane,110-82-7,Quantity,Value,Units,Method,Reference,Comment
Cyclohexane,110-82-7,S°gas,298.19,J/mol*K,N/A,"Beckett C.W., 1947",Close value of S(298.15 K)=298.78(0.75) J/mol*K was obtained by [43ASTSZA] from calorimetric data.;GT
Methylcyclohexane,108-87-2,ΔfH°gas,-154.8 ± 1.0,kJ/mol,Ccb,"Prosen, Johnson, et al., 1946",ALS
Methylcyclohexane,108-87-2,ΔfH°gas,-159.9,kJ/mol,N/A,"Moore, Renquist, et al., 1940","Value computed using ΔfHliquid° value of -195.3±1.9 kj/mol fromMoore, Renquist, et al., 1940and ΔvapH° value of 35.4 kj/mol fromProsen, Johnson, et al., 1946.;DRB"
Methylcyclohexane,108-87-2,Quantity,Value,Units,Method,Reference,Comment
Methylcyclohexane,108-87-2,S°gas,343.30,J/mol*K,N/A,"Beckett C.W., 1947",GT
Ethylcyclopentane,1640-89-7,ΔfH°gas,-127.1 ± 1.0,kJ/mol,Ccb,"Prosen, Johnson, et al., 1946",ALS
